,location,company,summary,jkid,title,salary,stars,reviews,post_date,pull_date,search_city
0,"Denver, CO",ICR Inc,"⦁ Research, design, and development of algorithms for data mining, regression, classification across broad and disparate data sets....",82d27a79fbc7e563,Data Scientist,,,,6 days,2016-10-17 23:44:33.464902,Denver
1,"Broomfield, CO","Vadata, Inc","Together with a highly multi-disciplinary team of scientist, engineers, strategic partners, product managers and subject domain experts you will work on...",f0b73a3abf907e71,Data Scientist,,,,7 days,2016-10-17 23:44:33.464902,Denver
2,"Denver, CO 80202 (Lodo area)",KPMG,"Machine learning, data visualization, statistical modeling, data mining, or information retrieval. KPMG is currently seeking a Data Scientist, to join our...",42d6aef39a3ddc0d,Data Scientist,,51.0,1768,3 days,2016-10-17 23:44:33.464902,Denver
3,"Denver, CO 80202 (Lodo area)",Ibotta,Strong experience working with data scientists and analysts. Build and maintain production-scale analytics and machine learning features....,90504439d6a10855,Data Engineer,,51.0,5,5 days,2016-10-17 23:44:33.464902,Denver
4,"Denver, CO 80202 (Lodo area)",Ray Allen,"The candidate will be supporting our Data Engineering team in developing and updating BI Dashboards using Qlik Sense, establishing ETL processes, creating...",f18fefb3ce91da7d,Associate Data Scientist,,,,30+ days,2016-10-17 23:44:33.464902,Denver
5,"Denver, CO",Galvanize,"Galvanize has a tight-knit team of data scientists, educators, and community builders that are creating a pathway onto industry’s most demanding data science...",778c32b8e628b100,"Associate Instructor, Data Science",,60.0,2,5 days,2016-10-17 23:44:33.464902,Denver
6,"Broomfield, CO",Oracle,Other data scientists as methodology is developed and deployed. A Senior Data Scientist (Data Scientist III) you’ll be developing cutting edge....,c5ffb2083bddd5e3,Data Scientist - Oracle Data Cloud,,44.4,1013,24 days,2016-10-17 23:44:33.464902,Denver
7,"Denver, CO",Denver Public Schools,"Revious project management experience preferred. Fulfill internal data requests, and coordinates external requests to conduct research within Denver Public...",96ea852b71d8e690,RESEARCH ANALYST,"$57,580 - $69,098 a year",43.8,157,6 days,2016-10-17 23:44:33.464902,Denver
8,"Westminster, CO",Oracle,"Data Scientists galore. Competency with big-data tools—such as SQL, Python, R, SAS. As a Senior Data Scientist on the Retail Analytics team, you would combine...",5dd2220530ef426d,Senior Data Scientist - Retail Analytics,,44.4,1013,4 days,2016-10-17 23:44:33.464902,Denver
9,"Denver, CO 80202 (Lodo area)",Ibotta,"Data Scientist you will be responsible for developing our analytics products, defending our methodology, and identifying ways to normalize and standardize our...",6b7b8940420fee88,Senior Data Scientist,,51.0,5,16 days,2016-10-17 23:44:33.464902,Denver
